노신티를 팍팍네네 안전하다 이거지?,
찜빵닮은 똥들은찜빵,
미친 망아지 2마리가 날뛰고 한나라를 말아먹네 결국엔 외국으로 도망까지 빨리 잡아서 죄가있으면 죄값치르게하고 만약 못잡으면 여권.비자 말소시키고 한국에 옷들어오게 외국에서 불법체류자로 떠돌게해야됨 대통령도 20년지인라고 하는데 눈감고 귀막고 최순실 너무 믿어서 이꼴이 난건아닐까 최필녀 ~ 최순실 ~최서원 이름을 보통사람들은 평생가도 1번 바꿀가 말까하는데 최순실이는 이름을 세번이나 바꿀수 있는 지 한숨만 나오네 최순실 아버지 최태민이가 이모든사단의 원흉이다,
조선민주주의인민공화국이 딴 데 있는 게 아니었다... 진정 빨갱이 집단과 맞서는 대한민국 민주공화국이 맞냐?,
새누리당 놈들아 더 감싸봐라.,
애낳고 산후조리했나?애아빠는 또 어떤 늠 인지?참 실망스럽다그래놓고도 주둥이 살아있다고나불대냐?,
모자이크는 말한테 해줘라.말 불쌍하다,
"승마협회,삼성,kt여기도 조사해라",
정관계 유력한 정치인 아버지 자식인듯.딸을 보험삼아 마랴.,
승마협회란데가 최순실 꼬봉노릇 하는 곳인데 공문이 뭔 의미?.걍 제적처리하고 중졸로 만들어,
애낳기 바빳을건데 학교갈 시간이 어딨어.,
귀신이 안잡아가나??!!!,
역시 학교는 필요가 없군,
부모 능력있어 도망자 신세 됐네 좋겠다,
말농장 이나해라. 이제 말이나키우고.말밥이나주면서 검정고시보면되겟구만.,
독일가서 거시기 보여줄라고 갔지,
근친아닐까????멍청한 정도가 너무심해,
최순실이 재산형성 과정을 추적해라 정윤회까지도...박정희에게 세뇌당한 망령들아 제발저승으로 빨리가라,
그게 뭔짓들인지?온통 나라가 말이 아니구먼~~/,
인생 참 지져분하게 사냐.....,
중학교도 까봐라. 국졸일 수도 있다,
이런게 서민 울리는 거야 이것들아적어도 공평은 해야 서민들도 경쟁에서 이기지적어도 선수가 시합장에는 나와야 이기고 지는거지나쁜놈들,
따지고보면 중졸 이네??ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎOOO,
더럽다 이나라 꼬라지가,
학교끝나고 벌리면 되지뭘그리 허벌나게 허벌버렸데 깔깔깔,
까도 까도 계속 더러운 꾸중물만 나오네,
타라는 말은 안타고 엄한놈만 탔네그려,
ㅋㅋ 요즘 대세가 승마라는데 모든게 용서되는 승마 ㅋㅋ,
《대한민국》이라면..고등학교 자퇴처리해라~!!,
"하지만 1,2학년 때 상황은 조사하지 않았다”고 말했다.",
아니 정식으로 얼굴 다 까야지..선수협회들어가면 얼굴 다 나오는데요??? 신문사들도 겉핥기 그만하고 본론으로 파헤치세요,
꼭 승마협회도 수사해라!,
정유라 애가 지금1살...남자는 동갑이든가??1살 많던가..그 집안도 지금 쉬쉬한다는데..한몫 잡으려고,
지나가는 여대생을 붙잡아 놓고 .... 대령 중령 소령은 ...... 불쌍하다 이등병은 쭈쭈바 껍데기,
좋겠다 저리 살아도 돼고 저리 살고 욕 먹어도 우리 보다 잘 살잖아 우리 끼리 ㅂㄷㅂㄷ 해보니 뭐하나,
학교다니던 중에 임신과 출산이 확실하다면공결도 무효고 고교졸업도 무효고 이대입학도 무효처리 아닌가?,
고등학교도 제대로 안다닌 애가대통령 연설문 수정한겨? 헐,
이건 금수저도 아니고 공주마마 ?,
상왕 순실이....,
이래서 뒤가 든든해야쥐 살~~~맛 나는겨 뒤를 키워라 뒤를 부모 원망도 쫌 하고ㅎㅎㅎㅎ 기상청 날씨 자~알 맞쳤네 출근 하는것들 어디서 쾅쾅쾅 소리가 들린다 들려 빗길 교오통 사고 소리 오늘도 저승길 번호표는 만원이구나 ㅗ ㅗ ㅗ ㅗ ㅗ,
그렇게 애지중지 극성맞고 돈처발라사 키우면 뭐해 고졸인 폰팔이에게 결혼했는데,
그렇게 따지면 일부 연예인들은 죄다 범법자겠다ㅋㅋ 아이유나 수지부터 조사해볼까?,
"간만에 걸레가 기사다운 기사를 썼네.. ㅎㅎ 하긴 정부나 대통령 흠집내는 기사쓰는건 한걸레,경향이 최고긴하지.. 암튼 순실이 사건은 하나 틀리지말고 잡아죠졌음... 애비징역100년, 애미 사형, 딸년 이슬람 성노예..",
개ㄱㅏㅌ으ㄴㄴㅕㄴ드ㄹ!!!!!!!!,
그네가 개헌을 꺼내들었다 ㅋㅋ,
황제의딸이구먼...세상에나,
근데 연예인도 이렇지않음???촬영하러간다고 학교 한두달 빠지고,
어쩐지 맞춤법이 다 틀리더라,
이런애도 있네... 딱히 내가 권력이 있어도 굳이 저렇게까지 하고 싶진 않을것 같은데 정말 특이한 애다.,
애나 부모나 다 똑같은것들이고 제 2의 최순실 나올뻔했구만,
이해가 안되는게 그냥 딸내미 학교 보내면 되지 간단한거 아닌가 왜 교장한테 거칠게 항의해? ㅋㅋㅋ바보네,
이뇬이거 공부도 못한 일자무식이네ㅋㅋㅋ 순전히 백으로 이대감? 승마입상도 빽?,
"이런애도 이렇듯 제멋대로 사는데,,,뭐 그 윗대가린 안까발려져서 그렇지 더하겠지?",
드라마나 영화에서 나오는 안하무인 재벌들 얘기가 딱히 과장된것도 아닌가보다. 더한 쓰레기가 존재하는 걸 보면.....어차피 학교 따위 다니지 않아도 얼마든지 잘먹고 잘 살았을 텐데...아무리황금 수저라도 간판은 필요했나부다!! 차라리 당당하게 기부입학을 하지...뭐 되도않는 스포츠인 행세인지...!!! 차라리 학교를 하나 세우지 그랬냐!!,
최순실 대통령님의 딸이라 그런지 인생쉽네여 부럽ㅎㅎ,
친구..는..있나....?,
맞춤법 다 틀리던 이유가 있었...,
얼굴이미 다아는데 걍 오픈해라 졸못이던데,
10억짜리 말타면 사실상 아무나 상탄다네요.,
"유명 심판진왈 ""말위에 얹혀가는수준""",
어딘가에서 말을타고있을 니에게 ? 말이좀 크긴크지?,
애초에 승마라는 운동이 말이 90%라잖아,
저런 건 지금이라도 중졸로 처리되야지. 나라가 개판,
말을 쳐바꾼다고 니성적이 나아질까 ㅋ 그위에 탄 니 잘못이지 ㅋ,
말 안타고 남자를 탔군,
"고딩이 그짓해서 애낳고, 승마연습 한다고 뻥치고 출석. 대학교 들어와서는 학점.. 받아낸 케이스네!",
눈은 왜 모자이크처리하냐,
안나간게 아니라 나가고 싶어도 못나갔겠지 배가 불러서,
체..나자격증하나따서 취업할라고 9개월동안 눈핏줄터져가면 공부하는대..쟤는 이대에들어가고.탱자탱자놀고 어린게 임신도하고...부모한테 고마운줄알고 살아야지...ㅉㅉㅉ 너땜에 니부모 인생종쳤어 이것아,
와근데 특혜고 부모덕 금수저 떠나서 ... 지 부모가 자길위해서 저렇게나 잘가르치고 부족한게 없는데 임심에 낙태에.. 학교 빠지고.. 머리나빠서 비리로 학교가고.. 어휴 부모속 엄청썩이네 거기다 지땜에 부모는지금 인생 망하고.. ㅉㅉ 나라면 진자 열심히 살텐데 배가 처불럿네 재는,
아따.싹뿌리뽑아라.,
출석일수 일년 195일 정도로 알고 있는데 황금수저네. 그러고도 졸업했고 이대 입학?,
정유라년 최순실년 머리끄댕이잡아와라!계좌동결시키고!돈과부동산은 압수하고국고로환수해라!징역은 무기징역으로다가 필수로해라,
"적당히 해야되는데 너무 대놓고 학교 빼먹어, 선생들한테 성질부려, 또 sns에다 지.랄대... 이러니까 네가 욕 안 먹게 생겼냐 어휴",
"축구, 야구, 농구, 씨름, 승마 등등 체육특기자는 운동하는 게 출석이다.. 당연한 걸 가지고 뭔 잘못이라고 트집 잡나?? 이상한 기자 ㅅ끼네...",
진짜 욕을 한바가지해주고싶다.박ㄱㅎ.최ㅅㅅ.정ㅇㄹ이 쓰레기통에 쳐넣을것들아~~~,
얼굴 공개해라누굴 닮았는지 보자혹시?,
그나마도 운동은 말이함ㅋㅋㅋㅋㅋㅋㅋ,
대단하다 권력자네 ㅋ,
최 대통령 딸이네 ㅎㅎ,
나도 학교가기싫다 나는 지각해서 무단으로 그이면 대학못가고 131일 출석안한 맞춤법도 거지같은애는 이화여대가네? 진짜 이제는 부모도 돈도 능력이라는말에 굴복되기 시작한다 나 아직 고등학생인데..,
새누리당이 문제다 ㅋㅋ 정유라 최순실 박근혜 인간 폐기물 녀석들,
머리가 텅 비었겠네 ㅡㅡ;;;;,
봄 여름 겨울방학 합치면 몇칠나 수업을 했다는거야..,
여기서 팩트는 유라 말안장위에 돌출장비 유무와 유라 승마 바지가랑이가 오픈 구조였냐는거다. 두개가 다 해당한다면 당장 구속해야된다.,
역시 승마는 돈과 인맥이 있어야 가능한 스포츠라는걸 다시금 깨닫는다.. 열심히 하는 선수들은 응원해주고 싶지만 이렇게 스포츠계에도 먹칠하는 몇몇 선수들보면 안타갑다,
돈도실력이라더니 그ㅤㅁㅏㅀ은돈 쳐발라도 무식은어떻게못햇나보네 남의부모 탓하지말고세상더럽게 살아온 네부모원망해라 나중에네자식들도 너원망하겟지만..,
얘자식 나중에커서 존속살인하는 그런아이가 됐음 좋게떠용,
518도 제대로 수사하자 역사 바로 세워야지,
"진짜 쓰레기구나 너, 못생긴데다 인성은 더 못생긴..",
승마협회공결?ㅋㅋㅋㅋ아니 거기가교육기관도아니고 왜승인해줘야되는데? 나도 그럼 우리집공결로해서 안갈래,
말안장 밑에 돌출 장비 깔고 흥분해서 고교 131결석했다면 사형감이다. 공문 덕에 공결은 애교수준이다!!! 순실이는 딸 관리좀 해라.,
말안장밑에 돌출 장비 깔았다면 반칙이다. 여자가 말야...그러면 안되다.,
저년은 말만 타도 임신하나? 하여튼 개판이다,
131결석하고도 졸업이 가능하다니 개한민국은 역시 권력의 개다,
민심이 천심이다 닭년들아,
딱봐도 재적감인데....수사 제대로 안하냐,
인터넷 기사나 블로그에 정유라가 페북에 썼던 글 캡쳐한게 있는데 맞춤법이랑 띄어쓰기가 가관임ㅋㅋㅋㅋㅋ 이제 진실을밝히고 자해요 우리아기는너무소중한존재엇으니가요 절대지울수업어요,
병신들 얘만 족치냐!!!연예인들 운동선수들 똑같다눈에보이는거만 쫓으니 개돼지라고 듣지!!,
괜히 찍었네...후회합니다..1표.,
왜정운호는 사진이 공개되는데 정유라는 계속모자이크냐,
일반학생들은 아파도 병원가서 확인서받고 조퇴 안되게 하려고 보건실에 누워있는데 누군 131결석에 고등학교 졸업에 명문 이대에 여기 관련된것들 죄다 처벌해라 교육은 공공제지 개인을 위한 사유제가 되서는 안된다,
잘 ..논..다....,
그데 요년은 왜 모자이크야 어차피 얼굴다 팔렸구만 돈많으니 20살부터 펑펑 나아서 국가에 기여하려는 효녀인데왜 가려?,
결국 결과만 좋아서 학교 명예 따주면 되지 어디서 Gral들이아~ 라는 마인드군....이런 대한민국에서 뭘 기대하리~,
"저 ㅅ ㅆ ㅅ ㅆ ㅂ ㅈ ㅇ ㄷ ㅇ ㄸ ㄲ ㅌ ㅋ ㅊ ㄴ은 도대체 어디에서 뭐 해 쳐먹고 다니냐? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 하여간 저 새끼는 세간의 여론에 지가 쫄려서 자살하던지, 아니면 길 가다가 남이 휘두른 칼에 찔리거나 번호판 없는 차량에 치이던지, 혹은 그런 차량에 깔리는 방법으로 비참한 최후를 맞이하게 될 것이다",
참 끝내주는 나라다 그냥 싹 다 엎고 잡아다가 머리에 총알 박고싶다,
그러니까 제가 대통령하겠다는거 아닙니까.....어르신들.....좀 정신들 좀 차리세요....,
대한민국 이라는 한국가가 최순실이라는 한기집에 손아귀에 놀아나는구나,
고3때 이미 애새끼 뱃으니 학교 나오겠지....ㅎㅎ,
저 十 새끼 독일에서 맨날 十 질이나 하고 댕기는거 아이가? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
대부분 다들 정유라 최순실 욕하고 있지만 .. 본인들도 저 다이아몬드줄 타고 태어났다면 그냥 저들처럼 마냥 신나고 겁대가리 없이 즐기고 살았을 거면서 여기선 다들 질투만 싸지르네 .. 게중에 사생활 아닌 부조리한 부분만 짚고 고쳐야겠다고 말하는 정상적인 사람들은 빼구,
구기종목처럼 여럿이 합을 맞추는 종목은 합숙이 길지만 그래도 저정도는 아닌걸로 안다. 자든 뭐하든 출석은 한다. 근데 승마는 합숙이 중요한 종목도 아니고 말이 안되는것같음. 명확히 밝히길 바람.,
"1년 365일에서 공휴일, 국경일 빼고 겨울방학, 여름방학, 봄방학 빼고 131일 결석이면 ㅁㅕㅊ일이나 나왔다는 거야? 조퇴 일수도 조사해보면 종례 참석은 하루도 안될 수도 있다.",
얘는 다이아몬드 수저네,
친구도 없겠네....ㅉ,
이대생들 오늘도 돈 벌러 미아리 갑니다.,
우리반에도 예체능하는 애가 있는데 적어도 결석은 하지 않습니다 그런데 131일결석? 웃기시네,
하나의 일개 인간에게 이렇게 시간을 투자해 머하나 싶다. 뿌린대로 거둬 들인다고 이 세상에서 저러고 살면 다음생에 바퀴벌레로 태어나겠지 뭐,
지가대통령이네요...ㅋ대한민국을어케보면저딴일들이...앙반집에있는개도지가양반인줄안다고하더니..ㅋㅋ,
박근혜게이트 어찌 될지 궁금하네...국민행복시대를 열겠습니다?? 진짜 부끄러운 줄 알아라...,
대한민국이 그런 나라지 뭐 원래부터,
끝이보이지않음. 이명박그네순실 꼬리에꼬리를물고 나라망신 헬조선만든 위인들이시네,
어차피 예전 승마 금메달 리스트면 어느정도 얼굴이 알려지지 않았나 새삼 모자이크 처리를. 할필요가 있나??예전기사 찾아보면 사진 나올텐데...공개되야 괜찮은 인격을 가진 중상층 집안이 저런 며느리감을 기피하지....는 않을려나 엄마가 돈많아서...쩝,
박그네 넌 거짓말 말고 할수 있는게 뭐니? 아 또 있다 수첩 없으면 아무것도 할 수 없는 공주..양말 하나라도 빨수 있니? 순실이 학교 (교도소) 입학 시키고 딸(정유라)도 엄마 있는 학교(청주교도소)로 전학시켜..설마 이대 졸업 =꿈도 꾸지마 ㅋ,
모녀가빨리커밍아웃하는일이나은일같은,
부모 잘 만나서 저렇게 사는거보면 부럽기도 하지만 ..,
고딩때 애를 낳은 애구나.. 지금 대학생인데 애는 지웠나?,
이넌ge가튼 녀언 말과 디비자그라 그짓도하고,
상식이 통하는 사회에서 살고싶다..,
이런 년들을 입국금지해야지,
돈도실력이라던 이 싹퉁바가지는 지금 어디숨어있나~~~???,
니 개돼지들이 암만 짖어도 변하는건없어 ^오^,
대가리는 그네 닮았을테니 빠가는 확실한가보다,
열심히 짖어 봐야 뭐하겠노. 욕조에서 와인 마시며 히히득 거릴텐데. 대비마마를 누가 건드릴까?,
학교 주5일 출석 이고 방학때 하고 공휴일 더하면학교에 안간거네~,
학교 주5일 출석 이고 방학때 하고 공휴일 더하면학교에 안간거네~,
도대체 이년은 뭐하는 년이냐? 양심이랑 도덕은 엿바꿔 먹은 년,
나 골 비었소 자랑 하고 다니더니 어디 숨었냐 이 여잔,
이제보니 개발랑녀네 고삼때 애가지고 대학가서 애낳고 자식 참 잘키웠다,
자꾸 김연아랑 비교하는데 일단 재능의 차이가 현저하구요^^ 승마는 살아있는 동물과 함께 호흡 맞추는 스포츠라 아무리 오래 훈련한다해도 하루에 네 시간이 최대예요. 것도 한마리로는 절대 불가능하고요. 말을 바꿔타고 연습하던가 아님 오전 오후로 두번씩 나눠타던가. 말이 지치면 기수도 위험하고 성적자체가 안나오니까요. 게다가 그냥 일반 승용마가 아니고 몇십억대 혈통마면 얼마나 조심하고 아껴줘야하는데 미쳤다고 몇시간씩 돌릴까요? 게다가 한국에선 비인기종목이라 승마대회가 거의 없습니다. 저 여자 해외 대회에서 입상한 전적은 있답니까?,
유라 동영상 나오면 히트 치겠다.,
모자이크처리 안한 사진이 깔렸는데 새삼 ...,
"""돈도 실력이야. 니네 부모를 원망해"" 얼마나 자신이 못났으면 이제 누가 부모를 원망하고 있을까?",
배불러오니까 학교못가지,
"이런다고 이 친구의 이대입학이 취소되는 것도, 퇴학되는 것도 아니고 시간 흘러 잠잠해지면 졸업해서 이대 나온 여자되는거 아님? 참 답답한 현실이요.",
참 이해가 않된다 131일이나 결석한 학생에게 수시를 합격시킨 이대의 합격조건은 도데체 무엇인가 돈있고 빽있으면 갈수있는게 수시제도인가 수시제도 다시한번 생각해봐야한다,
"인생 진짜 편하고 고오급지고 우아하게 산다 부럽다. 진짜로, 다음 인생엔 정유라로 태어나고 싶다 그럼 지금하곤 딴판이니까",
집안 멋지네 아빠는 아내 친구랑 놀아나고 아 장인 여자였나? 그리고 딸내미는 미성년자인데. 임신하고 이거 영화로 만들면 히트치겠네,
머리가 텅비었을텐데 대학입학이라니....,
대한국 여제 최순실폐하니뮤 ㅠㅠ,
아 개가 누군데 자꾸 떠들어대 조선반도 그냥 한국인 권력자 딸하나 가지고,
구역질이 난다. 일본군장교딸은 사무라이 딸답게 활ㅂ하라.,
미쳤어 모자이크 빼라. 저런 것은 모자이크 해줄 필요가 없다.,
역시나 대한민국은 돈과 권력 빽만있으면되유...부모는 자식에게 그러겠쥬..언론은 잠시만 지나면 조용해진다...그다음은 지들세상..언제나 모든게 그랬듯이..,
거참 뉘집자식인지 이쁘기도 하'유라'ㅡㅡ,
승마에~떡에~금메달에~임신에~출산에~진짜능력자년인걸~니애미가 훌륭하게키웠구만ㅋ,
눈은 왜가려 십 알,
작두로 손발.....잘러부러라.....에미 딸래미 둘 다~~~~~~,
최순실이랑 똑같이 생겼던데? 눈 축 쳐지고 얼굴 넙대대 영락없는 옥떨매 무수리 주제에 공주님이라니까 기분 좋다고?,
박근혜를 뽑았니 최순실을 뽑았니 대단해 ~~,
버림받은 미혼모인가요? 애를 왜 혼자키워?,
저런 니즈가리ㅤㅆㅣㅍ빠빠는 말 ㅤㅈㅝㄷ을 잘라서 냉동시켜놨다가 그걸로 마빡을 연신 조져버려야지~ ㅋㅋ,
세상 거칠것이 없네..온 나라의 절차 제도가 이 모녀의 뜻대로 바뀌고 모든 관련자가 납작 업드려 충성을 다한걸 보면 이 모녀는 사람이 아닌 신(GOD) 그 자체였던것이다.,
그 애미애비에 그 딸ㅎ 주어생략했어요 판사님^^,
이거 아동학대 아님?,
헬조선이라는 단어도 실례다 조선도 지금처럼 미개하지는 않았다 여기는 그냥 헬이다,
"박원순이 아들이나 뒤집시다. 거도 엉망진창이더구만. 아빠인 서울시장빽으로 막고 ,덮고 있더만",
세달학교 안나오면 퇴학아니던가요? 같은반애가 학교안나와서 담임선생님께서 퇴학 안시키려고 엄청노력하셨던 기억 나네요.근데 쟨 뭘까,
얜 금수저 다이아수저도 아니네ㅋㅋ 핵수저냐?,
스포츠하는친구들은 출석안하는데..,
참 여기 댓글보면 좌빨들의 영혼이 불쌍타. 어린엄마 잡아먹으려 덤비는 이리떼 같군. 인간성 한번 더럽다. 좌빨들 먹어라! 자~~~퉤!!!!,
돈있는 부모도 스펙이라했었나 정유라가?ㅋㅋㅋ 정도껏 뻔뻔해야지. 이대총장 사퇴하면 꼬리자르기로 끝날줄알았어요? 최순실 정유라 이번에 의혹들 싹다 밝혀내야죠.,
"국회의원 자녀들 학사관리,군입대 다 뒤집시다. 엉망 나올걸요?",
96년생이야? 내가 93인데 나보다 어려?,
신의딸납셨구나....엄마나 딸이나 암튼 대~~~박!!!!,
역겹다나라꼬라지...,
정유라가 최순실의 딸이기는 한건가? 과연 엄마가 최순실일까?,
무식한 이유가 있었군.....,
어이구 등신들아 우리마라 체육으로 진학하는 고딩들 전체 조사해봐라...어떤지....당장 김연아 고딩때 조사해봐하....,
최순실보다 박근혜닮았네 어린나이 출산한거까지 엄마닮았네,
페이스 다 까였음...ufo질은 왜햐...,
"돈없다는 박시장 딸은 스위스유학중, 아들은 영극에서 행방불명.... 노무현 아들딸도 외국서 호위호식....그 뒷돈 누가다 대줬을지 궁금하지 않냐?? 좌우를 떠나서 원래 정치인들 주변은 다 썩은거다.",
유전무죄 무전유죄 본인입으로도했다잖니....... 욕은하면서도 솔까부럽다.........,
"정유라시 애국자구먼. 금메달따서 나라에 도움돼,요즘 30 넘어도 시집도 안가고 아기도 안낳고 히스테리만 부리는데, 일찌감치 아기낳아 인구 늘려줘 좋은일도 많이 하누먼. 욕도 좀 적당히들 하시게나. 애놓고 몸조리도 못하고 ㅤㅉㅗㅈ겨다느누만. 그 갓난애긴 무슨죄요, 요람에서 조용히지내야 할아기를 짐승사냥하듯 모는 언론인 기자들 인간이 아니고 늑대로 보이더만",
부럽다.......,
니들 노무현이 뒷돈받고 아들딸 호위호식한거 다 잊었구나ㅋㅋㅋㅋㅋㅋㅋㅋ,
2번째 게임팁유병언 보다 위에 보스입니다.조심히 미션 진행하세요.,
공부 오지게 하기싫었는가보네 하긴 대한민국 넘버원이 엄마인데 공부따위하고싶긴했을까 간절함이없으니.. 가만히 숨만쉬어도 상위권대학에 넣어주고 졸업하면 어디든지 좋은직장넣어줄테니,
잘나가는 예체능 아이들 원래 다 빼준다. 뿐만아니라 공부순위 순위높은 아이들도 느그들 필요한거 하라고 수업 빼주는기게 현실....,
트럼프 > 브라질 호셰프 > 김영삼 > 김정은 > 쓰레기 > 닥그네...,
막장드라마가 따로 없네 ···,
그냥 자기하나구만 시 ㅂ 할년 들 ~닭이문제여 ~최태민이 자식은어디간겨~~~~???새끼인가 병아리,
정유라부모도능력이라며 ㅋㅋㅋㅋㅋ당당하면얼굴들고나와서능력껏말해버지왜숨어잇냐 ㅋㅋㅋㅋ,
말이불쌍하다 저런돼지같은뇬을 등에 매고 뛰다니..,
치맛바람이 결국 딸인생 망쳤네.. 고개들고 못다닐듯..ㅊ,
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
왜..얼굴은 가리냐..? 그 뭐거시기 초상권 침해땜시..!,
영화가 현실인 대한민국 ..재미지잖냐?!,
이러고도 반성이 아닌 도피를 하고있겠지....,
돈도 실력!!!!!이x아!!,
중국처럼 사형시켜야 되는데 한국은 어느정도 공산주의가 필요한것 같다 저런 것들 보면,
근데 이건 다른 스포츠선수도 마찬가지 아님?,
X같이 생겼네 10자,
국민학교시절 ㅇ감기로 하루결석으로 6년개근 날아갔다. 학교에 통보했는데도 말이다,
솔직히 부럽다 ㅎㅎ,
어린것이 발랑까져가지고 뮈에써먹노,
와우 금수저 탄생 축하 그래서 승마로 금메달 따 국위선양 했냐 금수저야 ㅋㅋ,
막장드라마는 이제 시시해졌어요. 현실이 더 막장이야,
"제출했던 대학 레포트보고 머리가 텅텅 비었다고는 생각했는데...고3때 임신하고, 애 낳느라 어거지로 부정입학한 대학을 출석도 못해..와~ 이건 뭐 머리에 뇌가 아니라 우동 사리가 들어있는 생물이네. 너도 인간이냐? 헐..,;;",
저년과 저 어미는 정체가머냐?,
베댓 조만간... 읍읍읍... 어 누구세...읍읍읍...,
금수저가 아니고 마법수저네,
대한민국에서 신처럼 살수있는 사람이 최순실이네... 학교장찾아가서 항의가아닌 협박하면서 자기맘대로 할수있는것...,
자꾸 왜 모자이크 처리해요?,
김연아는 학교 출석 다했는지 함 밝혀봅시다 .스포츠메달감들은 다거기서 거긴걸로 아는데?,
철저하게 조사해라 아주 철저하게,
미혼모..ㅠㅠㅠㅠㅠㅠㅠ,
남자를 그렇게 타대니 애를 낳을 수 밖에,
진심 최순실 특집으로 싹 다 정리해서 영화 한편 만들면 대박날듯 ㅋㅋㅋ,
에미뇬이나 딸뇬이나 댓텅년이나,
